Specimen,Subfamily,Tribe,Genus,Species,Element,Formation,Member,State,Region,Epoch,NALMA,TrueArea(cm2),EnamelLength(cm),OEI
AMNH F:AM 99247,Equinae,Equini,Equus,simplicidens ,P3,,,Florida,Gulf Coast,Pliocene,Blancan,5.438,22.284,9.556
AMNH FM 10584,Equinae,Hipparionini,Nannippus,lenticulare,P3,Clarendon,,Texas,Great Plains,Miocene,Clarendonian,3.963,19.236,9.663
AMNH FM 10607,Equinae,Equini,Equus,scotti,P3,Rock Creek Beds,,Texas,Great Plains,Pleistocene,Irv/Rancho,8.239,26.481,9.226
AMNH FM 10612,Equinae,Equini,Equus,scotti,P3,Rock Creek,,Texas,Great Plains,Pleistocene,Irv/Rancho,7.566,22.859,8.310
AMNH FM 10628,Equinae,Equini,Equus,scotti,P3,Rock Creek,,Texas,Great Plains,Pleistocene,Irv/Rancho,9.787,35.83,11.453
AMNH FM 10865,Equinae,Hipparionini,Neohipparion,sp.,P3,,,South Dakota,Great Plains,,,5.769,25.951,10.804
AMNH FM 109855,Equinae,"""Merychippini""",Merychippus,sp.,P3,Tesuque,,New Mexico,Great Basin,Miocene,Barstovian,4.364,17.045,8.159
AMNH FM 127671,Equinae,Equini,Equus,sp.,,,,Honduras,Gulf Coast,Pleistocene,Irv/Rancho,5.968,26.764,10.956
AMNH FM 13714,Equinae,Equini,Equus,sp.,,Phosphate Workings,,South Carolina,Eastern US ,Pleistocene,Irv/Rancho,6.036,31.946,13.003
AMNH FM 13770,Anchitheriinae,"""Anchitheriini""",Parahippus,nebrascensis ,P3,,,,,,,6.972,19.189,7.267
AMNH FM 140736,Equinae,Equini,Scaphohippus,sp.,P3,Tesuque,,New Mexico,Great Basin,Miocene,Barstovian,4.165,18.888,9.255
AMNH FM 14180,Equinae,"""Merychippini""",Merychippus,sp.,P3,,,,,,,3.491,16.08,8.606
AMNH FM 142647,Equinae,Equini,Scaphohippus,sp.,P3,Tesuque,,New Mexico,Great Basin,Miocene,Barstovian,4.249,21.476,10.419
AMNH FM 14296,Equinae,Equini,Equus,complicatus,P2,Gravel,,Mississippi,Gulf Coast,Pleistocene,Irv/Rancho,9.368,34.475,11.264
AMNH FM 143258,Equinae,"""Merychippini""",Merychippus,sp.,P3,Barstow,,California,Great Basin,Miocene,Barstovian,4.612,17.28,8.046
AMNH FM 15549,Equinae,Equini,Equus,sp.,M2,,,Mexico,Gulf Coast,Pleistocene,Irv/Rancho,4.671,23.741,10.985
AMNH FM 17224,Equinae,Equini,Dinohippus,leidyanus,P3,,,,,,,6.648,24.88,9.650
AMNH FM 18297,Equinae,"""Merychippini""",Merychippus,insignis,P3,Olcott,,Nebraska,Great Plains,Miocene,Barstovian,2.649,14.096,8.661
AMNH FM 18299,Equinae,"""Merychippini""",Merychippus,insignis,P3,Olcott,,Nebraska,Great Plains,Miocene,Barstovian,3.109,16.651,9.443
AMNH FM 18655,Equinae,Equini,Equus,simplicidens ,P3,,,Arizona,Great Basin,Pliocene,Blancan,10.924,30.577,9.251
AMNH FM 18972,Equinae,Equini,Dinohippus,leidyanus,P3,Snake Creek,,Nebraska,Great Plains,Miocene,Hemphillian,4.626,18.603,8.649
AMNH FM 22733,Equinae,Equini,Equus,intermedius,P3,Avery Island,,Louisiana,Gulf Coast,Pleistocene,Irv/Rancho,6.657,27.172,10.531
AMNH FM 27834,Equinae,Equini,Equus,complicatus,,Avery Island,,Louisiana,Gulf Coast,Pleistocene,Irv/Rancho,7.077,31.232,11.740
AMNH FM 32551,Equinae,Equini,Equus,simplicidens ,P3,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,9.144,30.447,10.069
