species,common_name,trial_number,larval_stage,days_post_hatch,degree_days_age,acclimation_temp_C,larval_id,warming_rate_C,body_length_mm,CTmax_C
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT317,8,20.12866667,25
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT318,8,15.30366667,25
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT311,8,18.758832,25.2
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT312,8,17.578,25.2
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT310,8,18.7865245,25.3
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT313,8,15.79933333,25.4
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT326,Control,17.39107409,NA
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT327,Control,17.57559148,NA
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT328,Control,18.70891452,NA
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT329,Control,17.64360334,NA
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT330,Control,18.33144391,NA
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT331,Control,19.18572592,NA
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT332,Control,18.9657531,NA
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT333,Control,16.41334519,NA
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT334,Control,19.01310632,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT345,1,19.52947429,16.6
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT346,1,21.02772454,17.6
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT347,1,20.58869368,20.6
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT348,1,21.73333405,22
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT349,1,23.77955788,22.9
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT350,1,21.90854477,22.9
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT351,1,20.29438003,23.3
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT352,1,19.47608669,23.5
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT353,1,18.71854932,24.5
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT336,2,20.96328759,17
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT338,2,22.78845929,21
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT339,2,22.36140923,22.9
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT341,2,20.187333,23.8
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT340,2,19.73839388,24
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT342,2,20.39638579,24
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT343,2,20.22525783,24
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT344,2,21.14030801,24
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT335,2,NA,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT337,Control,21.88439085,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT354,Control,19.06688623,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT355,Control,22.33020717,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT356,Control,21.44487509,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT357,Control,21.47767535,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT358,Control,19.83910463,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT359,Control,20.53154745,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT360,Control,18.87166633,NA
Clupea harengus,Herring,5,Feeding larva,66,491,7,CT361,Control,20.01771923,NA
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT086,0.5,11.99666667,22.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT087,0.5,12.20333333,23
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT088,0.5,14.794,24.4
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT089,0.5,12.79766667,24.4
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT091,0.5,14.63766667,25.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT092,0.5,14.35466667,25.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT093,0.5,13.16827563,25.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT090,0.5,14.58033333,25.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT094,0.5,13.18278929,25.9
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT068,1,12.79003333,23.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT073,1,12.82896667,24.4
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT069,1,12.69003333,24.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT080,1,13.82986667,26
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT081,1,13.67633333,26
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT082,1,13.60533333,26
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT083,1,13.06133333,26
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT084,1,13.89,26
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT085,1,9.74,26.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT058,2,12.57894407,23.8
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT059,2,14.561566,23.8
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT060,2,11.67253333,24.9
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT061,2,12.6894,25.1
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT062,2,11.32976667,25.4
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT063,2,13.4609,25.9
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT064,2,13.57576667,25.9
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT065,2,14.79023333,25.9
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT066,2,13.81003333,26
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT071,4,13.35043333,25.9
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT072,4,13.81033333,25.9
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT070,4,13.39266667,26
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT074,4,12.55233333,26.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT075,4,13.57156667,26.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT076,4,10.59643333,26.5
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT077,4,7.840833333,26.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT078,4,13.96296667,26.7
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT079,4,10.54016667,26.7
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT095,8,10.94033333,26.3
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT096,8,13.98333333,26.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT097,8,12.19658768,26.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT098,8,11.13247242,26.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT099,8,11.24036158,26.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT100,8,7.757230344,26.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT101,8,12.99775381,26.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT102,8,14.1970436,26.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT103,8,14.50559402,26.6
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT067,Control,13.98833333,NA
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT104,Control,13.71933471,NA
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT105,Control,13.80053477,NA
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT106,Control,14.12706037,NA
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT107,Control,10.38918646,NA
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT108,Control,9.441038137,NA
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT109,Control,14.70707085,NA
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT110,Control,13.9284906,NA
Clupea harengus,Herring,6,Feeding larva,14,130,13,CT111,Control,11.19292435,NA
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT200,0.5,21.42759071,19.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT201,0.5,20.52543906,20
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT203,0.5,18.94639115,22.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT204,0.5,21.09368509,25.2
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT205,0.5,19.01580166,25.2
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT216,0.5,22.00073517,26
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT215,0.5,21.18606352,26.1
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT217,0.5,16.44153193,26.1
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT218,0.5,20.1926756,26.8
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT173,1,21.94116575,15
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT174,1,20.2520761,15
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT176,1,22.48351204,15.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT178,1,20.79878593,16.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT186,1,20.65100054,22
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT187,1,21.76108209,22.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT188,1,14.18149769,22.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT189,1,18.97358186,22.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT190,1,22.35475331,24
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT177,2,21.24747085,18.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT179,2,22.16083098,23.1
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT180,2,18.36535209,23.1
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT181,2,23.45480474,24
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT182,2,21.88619717,25
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT183,2,19.10395731,25
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT184,2,22.78137519,25
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT185,2,16.79032588,27
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT175,2,NA,NA
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT191,4,23.23298389,22
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT192,4,22.80260172,22.2
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT193,4,23.57593431,22.8
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT194,4,21.98961919,24.9
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT195,4,20.13540258,25
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT196,4,21.42082219,25.3
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT197,4,22.42181515,25.6
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT198,4,22.12954216,25.6
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT199,4,22.95319425,25.7
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT206,8,23.39979996,23
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT207,8,22.72906092,24.3
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT208,8,21.7850474,24.6
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT210,8,23.52261462,25.2
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT209,8,22.29111796,25.3
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT211,8,22.2910898,26.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT213,8,23.26535857,26.5
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT212,8,22.69017109,26.6
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT214,8,22.00204222,26.6
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT202,Control,21.62302117,NA
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT219,Control,NA,NA
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT220,Control,20.80033026,NA
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT221,Control,17.4373932,NA
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT222,Control,20.35201936,NA
Clupea harengus,Herring,7,Feeding larva,34,387,13,CT223,Control,21.7666441,NA
